Phylum,Sub Phylum,Class,Order,Family,Species,Common Name,C-value,Chrom num,Method,Cell type,Std sp,References,References,References
Arthropoda,Crustacea,Branchiopoda,Anostraca,Artemiidae,Artemia salina,Brine shrimp,2.91,,FD,WB,NS (V),"Rheinsmith, E.L., R. Hinegardner, and K. Bachmann (1974). Nuclear DNA amounts in Crustacea. Comparative Biochemistry and Physiology 48B: 343-348.",,
Arthropoda,Crustacea,Branchiopoda,Anostraca,Branchinectidae,Branchinecta paludosa,Fairy shrimp,2.77,,FD,EXP,V,"Beaton, M.J. (1988). Genome size variation in the Cladocera. M.Sc. Thesis, Department of Biological Sciences, University of Windsor, Windsor.",,
Arthropoda,Crustacea,Branchiopoda,Anostraca,Chirocephalidae,Artemiopsis stephanssoni,Fairy shrimp,0.87,,FD,EXP,V,"Beaton, M.J. (1988). Genome size variation in the Cladocera. M.Sc. Thesis, Department of Biological Sciences, University of Windsor, Windsor.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Bosminidae,Bosmina longirostris,Water flea,0.19,,FD,EXP,V,"Beaton, M.J. (1988). Genome size variation in the Cladocera. M.Sc. Thesis, Department of Biological Sciences, University of Windsor, Windsor.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Chydoridae,Eurycercus glacialis,Water flea,0.63,,FD,EXP,V,"Beaton, M.J. (1988). Genome size variation in the Cladocera. M.Sc. Thesis, Department of Biological Sciences, University of Windsor, Windsor.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Ceriodaphnia reticulata,Water flea,0.23,,FD,EXP,V,"Beaton, M.J. (1988). Genome size variation in the Cladocera. M.Sc. Thesis, Department of Biological Sciences, University of Windsor, Windsor.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Ctenodaphnia angulata,Water flea,0.36,,FD,EXP,V,"Beaton, M.J. (1988). Genome size variation in the Cladocera. M.Sc. Thesis, Department of Biological Sciences, University of Windsor, Windsor.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Ctenodaphnia carinata,Water flea,0.26,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Ctenodaphnia cephalata,Water flea,0.27,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Ctenodaphnia exilis,Water flea,0.38,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Ctenodaphnia longicephala,Water flea,0.27,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Ctenodaphnia lumholtzi,Water flea,0.26,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Ctenodaphnia magna,Water flea,0.24,,FD,SQ,"GD, OM","Rasch, E.M. (1985). DNA ""standards"" and the range of accurate DNA estimates by Feulgen absorption microspectrophotometry. In: Advances in Microscopy, edited by R.R. Cowden and S.H. Harrison. Alan R. Liss, New York, pp.137-166.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Ctenodaphnia magna,Water flea,0.40,,FCM,WB,GD,"Korpelainen, H., M. Ketola, and J. Hietala (1997). Somatic polyploidy examined by flow cytometry in Daphnia. Journal of Plankton Research19: 2031-2040.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Ctenodaphnia magna,Water flea,0.47,,FD,EXP,V,"Beaton, M.J. and P.D.N. Hebert (1989). Miniature genomes and endopolyploidy in cladoceran crustaceans. Genome 32: 1048-1053.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Ctenodaphnia magna,Water flea,0.48,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
