Phylum,Sub Phylum,Class,Order,Family,Species,Common Name,C-value,Chrom num,Method,Cell type,Std sp,References1,References2
Chordata,Vertebrata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser baerii baerii,Siberian sturgeon,4.15,248,FCM,RBC,AR,"Birstein, V.J., A.I. Pletaev, and B.F. Goncharov (1993). DNA content in Eurasian sturgeon species determined by flow cytometry. Cytometry 14: 377-383.",
Chordata,Vertebrata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser brevirostrum,Shortnose sturgeon,6.54,,FCM,RBC,HS,"Blacklidge, K.H. and C.A. Bidwell (1993). Three ploidy levels indicated by genome quantification in Acipenseriformes of North America. Journal of Heredity 84: 427-430.",
Chordata,Vertebrata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser brevirostrum,Shortnose sturgeon,6.89,,FIA,RBC,"BS, GD, OM, RP","Hardie, D.C. and P.D.N. Hebert (2003). The nucleotypic effects of cellular DNA content in cartilaginous and ray-finned fishes. Genome 46: 683-706.","Hardie, D.C. and P.D.N. Hebert (2004).  Genome-size evolution in fishes.  Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.  Click here to download data appendix."
Chordata,Vertebrata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser brevirostrum (3x),Shortnose sturgeon,9.32,,FIA,RBC,"BS, GD, OM, RP","Hardie, D.C. and P.D.N. Hebert (2003). The nucleotypic effects of cellular DNA content in cartilaginous and ray-finned fishes. Genome 46: 683-706.","Hardie, D.C. and P.D.N. Hebert (2004).  Genome-size evolution in fishes.  Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.  Click here to download data appendix."
Chordata,Vertebrata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser fulvescens,Lake sturgeon,4.45,,FCM,RBC,HS,"Blacklidge, K.H. and C.A. Bidwell (1993). Three ploidy levels indicated by genome quantification in Acipenseriformes of North America. Journal of Heredity 84: 427-430.",
Chordata,Vertebrata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser gueldenstaedtii,Russian sturgeon,3.94,250,FCM,RBC,AR,"Birstein, V.J., A.I. Pletaev, and B.F. Goncharov (1993). DNA content in Eurasian sturgeon species determined by flow cytometry. Cytometry 14: 377-383.",
Chordata,Vertebrata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser medirostris,Green sturgeon,4.41,,FCM,RBC,HS,"Blacklidge, K.H. and C.A. Bidwell (1993). Three ploidy levels indicated by genome quantification in Acipenseriformes of North America. Journal of Heredity 84: 427-430.",
Chordata,Vertebrata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser medirostris,Green sturgeon,7.17,,FCM,RBC,AR,"Birstein, V.J., A.I. Pletaev, and B.F. Goncharov (1993). DNA content in Eurasian sturgeon species determined by flow cytometry. Cytometry 14: 377-383.",
Chordata,Vertebrata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser naccarii,Adriatic sturgeon,2.85,239,FD,RBC,TT,"Fontana, F. (1976). Nuclear DNA content and cytometry of erythrocytes of Huso huso L., Acipenser sturio L. and Acipenser naccarii Bonaparte. Caryologia 29: 127-137.",
Chordata,Vertebrata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser naccarii,Adriatic sturgeon,4.24,,NS,NS,GD,"Vialli, M. (1957a). Volume et contenu en ADN par noyau. Experimental Cell Research Suppl. 4: 284-293.",
Chordata,Vertebrata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser nudiventris,Fringebarbel sturgeon,1.97,118,FCM,RBC,AR,"Birstein, V.J., A.I. Pletaev, and B.F. Goncharov (1993). DNA content in Eurasian sturgeon species determined by flow cytometry. Cytometry 14: 377-383.",
Chordata,Vertebrata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser oxyrhynchus,Atlantic sturgeon,2.19,,FIA,RBC,"BS, GD, OM, RP","Hardie, D.C. and P.D.N. Hebert (2003). The nucleotypic effects of cellular DNA content in cartilaginous and ray-finned fishes. Genome 46: 683-706.","Hardie, D.C. and P.D.N. Hebert (2004).  Genome-size evolution in fishes.  Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.  Click here to download data appendix."
Chordata,Vertebrata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser oxyrhynchus  (3x),Atlantic sturgeon,3.36,,FIA,RBC,"BS, GD, OM, RP","Hardie, D.C. and P.D.N. Hebert (2003). The nucleotypic effects of cellular DNA content in cartilaginous and ray-finned fishes. Genome 46: 683-706.","Hardie, D.C. and P.D.N. Hebert (2004).  Genome-size evolution in fishes.  Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.  Click here to download data appendix."
Chordata,Vertebrata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser oxyrhynchus desotoi,Gulf sturgeon,2.28,,FCM,RBC,HS,"Blacklidge, K.H. and C.A. Bidwell (1993). Three ploidy levels indicated by genome quantification in Acipenseriformes of North America. Journal of Heredity 84: 427-430.",
Chordata,Vertebrata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser ruthenus,Sterlet,1.87,118,FCM,RBC,XL,"Birstein, V.J., A.I. Pletaev, and B.F. Goncharov (1993). DNA content in Eurasian sturgeon species determined by flow cytometry. Cytometry 14: 377-383.",
