和名,Category,SingleMulti,TAC,Target
スケトウダラ,Fish,Single,1,H30
マアジ,Fish,Single,1,H30
マイワシ,Fish,Single,1,H30
マサバ,Fish,Single,1,H30
ゴマサバ,Fish,Single,1,H30
スルメイカ,Cuttlefish,Single,1,H30
ズワイガニ,Shellfish,Single,1,H30
アオダイ,Fish,Single,0,H30
アカガレイ,Fish,Single,0,H30
アカアマダイ,Fish,Single,0,H30
イカナゴ,Fish,Single,0,H30
イカナゴ類,Fish,Single,0,H30
イトヒキダラ,Fish,Single,0,H30
ウマヅラハギ,Fish,Single,0,H30
ウルメイワシ,Fish,Single,0,H30
エソ類,Fish,Multi,0,H30
オオヒメ,Fish,Single,0,H30
カタクチイワシ,Fish,Single,0,H30
カレイ類,Fish,Multi,0,H30
キアンコウ,Fish,Single,0,H30
キダイ,Fish,Single,0,H30
キチジ,Fish,Single,0,H30
キンメダイ,Fish,Single,0,H30
ケンサキイカ,Cuttlefish,Single,0,H30
サメガレイ,Fish,Single,0,H30
サワラ,Fish,Single,0,H30
シャコ,Shellfish,Single,0,H30
ソウハチ,Fish,Single,0,H30
タチウオ,Fish,Single,0,H30
トラフグ,Fish,Single,0,H30
ニギス,Fish,Single,0,H30
ニシン,Fish,Single,0,H30
ハタハタ,Fish,Single,0,H30
ハマダイ,Fish,Single,0,H30
ハモ,Fish,Single,0,H30
ヒメダイ,Fish,Single,0,H30
ヒラメ,Fish,Single,0,H30
ブリ,Fish,Single,0,H30
ベニズワイガニ,Shellfish,Single,0,H30
ホッケ,Fish,Single,0,H30
ホッコクアカエビ,Shellfish,Single,0,H30
マアナゴ,Fish,Single,0,H30
マガレイ,Fish,Single,0,H30
マダイ,Fish,Single,0,H30
マダラ,Fish,Single,0,H30
マナガツオ類,Fish,Multi,0,H30
ムシガレイ,Fish,Single,0,H30
ムロアジ類,Fish,Multi,0,H30
ヤナギムシガレイ,Fish,Single,0,H30
ヤリイカ,Cuttlefish,Single,0,H30
アイナメ,Fish,Single,0,R1
アカムツ,Fish,Single,0,R1
イサキ,Fish,Single,0,R1
イシガレイ,Fish,Single,0,R1
ウスメバル,Fish,Single,0,R1
ガザミ,Shellfish,Single,0,R1
キビナゴ,Fish,Single,0,R1
クマエビ,Shellfish,Single,0,R1
クルマエビ,Shellfish,Single,0,R1
コウイカ,Cuttlefish,Single,0,R1
ツクシトビウオ,Fish,Single,0,R1
ツノナシオキアミ,Shellfish,Single,0,R1
ハマトビウオ,Fish,Single,0,R1
ホソトビウオ,Fish,Single,0,R1
マコガレイ,Fish,Single,0,R1
マルソウダ,Fish,Single,0,R1
メイタガレイ,Fish,Single,0,R1
アオメエソ,Fish,Single,0,R2
アオリイカ,Cuttlefish,Single,0,R2
アカカマス,Fish,Single,0,R2
アブラガレイ,Fish,Single,0,R2
イシカワシラウオ,Fish,Single,0,R2
イセエビ,Shellfish,Single,0,R2
イボダイ,Fish,Single,0,R2
