和名,Category,SingleMulti,TAC,Target
クロマグロ,Fish,Single,1,NA
タイセイヨウクロマグロ,Fish,Single,1,NA
ビンナガ,Fish,Single,1,NA
キハダ,Fish,Single,1,NA
メバチ,Fish,Single,1,NA
ミナミマグロ,Fish,Single,0,NA
メカジキ,Fish,Single,1,NA
マカジキ,Fish,Single,0,NA
ニシマカジキ,Fish,Single,1,NA
クロカジキ,Fish,Single,0,NA
カツオ,Fish,Single,0,NA
ヨシキリザメ,Fish,Single,1,NA
アオザメ,Fish,Single,1,NA
アブラツノザメ,Fish,Single,0,NA
ネズミザメ,Fish,Single,0,NA
ニシネズミザメ,Fish,Single,0,NA
ウバザメ,Fish,Single,0,NA
ホホジロザメ,Fish,Single,0,NA
ジンベエザメ,Fish,Single,0,NA
オナガザメ類,Fish,Multi,0,NA
ニタリ,Fish,Single,0,NA
ハチワレ,Fish,Single,0,NA
マオナガ,Fish,Single,0,NA
ヨゴレ,Fish,Single,0,NA
ミズワニ,Fish,Single,0,NA
クロトガリザメ,Fish,Single,0,NA
イシイルカ,Mammal,Single,0,NA
ツチクジラ,Mammal,Single,0,NA
ミンククジラ,Mammal,Single,1,NA
クロミンククジラ,Mammal,Single,0,NA
ニタリクジラ,Mammal,Single,1,NA
シロナガスクジラ,Mammal,Single,1,NA
イワシクジラ,Mammal,Single,1,NA
スナメリ,Mammal,Single,0,NA
シャチ,Mammal,Single,0,NA
トド,Mammal,Single,0,NA
カラフトマス,Fish,Single,0,NA
サケ,Fish,Single,0,NA
サクラマス,Fish,Single,0,NA
スケトウダラ,Fish,Single,0,NA
カラスガレイ,Fish,Single,1,NA
アカイカ,Other,Single,0,NA
アルゼンチンマツイカ,Other,Single,0,NA
アメリカオオアカイカ,Other,Single,0,NA
ナンキョクオキアミ,Other,Single,0,NA
マジェランアイナメ,Fish,Single,0,NA
ライギョダマシ,Fish,Single,0,NA
クサカリツボダイ,Fish,Single,0,NA
キンメダイ,Fish,Single,0,NA
アカウオ類,Fish,Multi,1,NA
チヒロアカウオ1,Fish,Single,0,NA
チヒロアカウオ2,Fish,Single,0,NA
タイセイヨウアカウオ,Fish,Single,0,NA
オオエンコウガニ,Other,Single,0,NA
サンマ,Fish,Single,1,NA
ニホンウナギ,Fish,Single,0,NA
