Family,Order,目名
Acropomatidae,Pempheriformes,ハタンポ目
Ammodytidae,Uranoscopiformes,ミシマオコゼ目
Anguillidae,Anguilliformes,ウナギ目
Anoplopomatidae,Perciformes,スズキ目
Argentinidae,Argentiniformes,ニギス目
Belonidae,Beloniformes,ダツ目
Berycidae,Beryciformes,キンメダイ目
Branchiostegidae,Perciformes,スズキ目
Callionymidae,Syngnathiformes,トゲウオ目
Carangidae,Carangiformes,アジ目
Centrolophidae,,
Chlorophthalmidae,,
Clupeidae,,
Coryphaenidae,,
Cynoglossidae,,
Dasyatidae,,
Dussumieriidae,,
Embiotocidae,,
Engraulidae,,
Epinephelidae,,
Exocoetidae,,
Fistulariidae,,
Gadidae,,
Girellidae,,
Haemulidae,,
Hemiramphidae,,
Hemitripteridae,,
Hexagrammidae,,
Labridae,,
Lampridae,,
Lateolabracidae,,
Lophiidae,,
Lutjanidae,,
Monacanthidae,,
Moridae,,
Mugilidae,,
Mullidae,,
Muraenesocidae,,
Nemipteridae,,
Niphonidae,,
Ophidiidae,,
Oplegnathidae,,
Oplegnathidae,,
Paralichthyidae,,
Platycephalidae,,
Pleuronectidae,,
Priacanthidae,,
Priacanthidae,,
Salangidae,,
Salmonidae,,
Sciaenidae,,
Sciaenidae,,
Scombridae,,
Scombridae,,
Scorpididae,,
Sebastidae,,
Sebastolobidae,,
Siganidae,,
Sillaginidae,,
Sparidae,,
Sphyraenidae,,
Spratelloididae,,
Stichaeidae,,
Synanceiidae,,
Synaphobranchidae,,
Tetraodontidae,,
Trichiuridae,,
Trichodontidae,,
Triglidae,,
Zeidae,,
Zoarcidae,,
