KAUM科番号,科,Family,和名,学名,Remarks,和名ヘボン式表記
333,サバ科,Scombridae,タイセイヨウクロマグロ,Thunnus thynnus, ,Taiseiyo-kuromaguro
333,サバ科,Scombridae,ミナミマグロ,Thunnus maccoyii, ,Minami-maguro
328,マカジキ科,Istiophoridae,ニシマカジキ,Kajikia albida, ,Nishi-makajiki
15,ネズミザメ科,Lamnidae,ニシネズミザメ,Lamna nasus, ,Nishi-nezumizame
NA,ネズミイルカ科,Phocoenidae,イシイルカ,Phocoenoides dalli, ,Ishikujira
NA,アカボウクジラ科,Ziphiidae,ツチクジラ,Berardius bairdii, ,Tsuchikujira
NA,ナガスクジラ科,Balaenopteridae,ミンククジラ,Balaenoptera acutorostrata, ,Minkukujira
NA,ナガスクジラ科,Balaenopteridae,クロミンククジラ,Balaenoptera bonaerensis, ,Kurominkukujira
NA,ナガスクジラ科,Balaenopteridae,ニタリクジラ,Balaenoptera edeni, ,Nitarikujira
NA,ナガスクジラ科,Balaenopteridae,シロナガスクジラ,Balaenoptera musculus, ,Shironagasukujira
NA,ナガスクジラ科,Balaenopteridae,イワシクジラ,Balaenoptera borealis, ,Iwashikujira
NA,ネズミイルカ科,Phocoenidae,スナメリ,Neophocaena asiaeorientalis, ,Sunameri
NA,マイルカ科,Delphinidae,シャチ,Orcinus orca, ,Shachi
NA,アシカ科,Otariidae,トド,Eumetopias jubatus, ,Todo
94,サケ科,Salmonidae,サクラマス,Oncorhynchus masou masou (Brevoort 1856),"
サクラマス（降海型）・ヤマメ（陸封型）；坂本・田島（1995）佐賀自然史研究1:17-26，佐賀県；座間（1998）「万石浦の魚類の生態学的研究」，宮城県万石浦；田島（1999）佐賀自然史研究5:1-14，福岡県矢部川；武内ほか（2011）近畿大学農学部紀要44:63-87，北海道千歳川水系；竹内ほか（2015）日本生物地理学会会報70:1-11，対馬；金子ほか（2015）日本生物地理学会会報70:131-139，神奈川県（集団遺伝）；Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；綱川・白井（2018）魚類学雑誌doi 10.11369/jji.18-009，回遊履歴（栃木県）；Yamamoto et al (2019) Freshwater Biol doi:10.1111/fwb.13460，4亜種遺伝構造，中部地方から四国，九州北東部を除く日本各地に分布；園山ほか（2020）鹿児島大学総合研究博物館研究報告11:1-152，山口県日本海側；荒川（2021）のと海洋ふれあいセンター研究報告27:9-23，能登半島；岩坪ほか（2022）「薩摩半島沿岸の魚類」；佐藤ほか（2022）「北の磯魚生態図鑑」，北日本；山崎ほか（2022）茨城県自然博物館研究報告25:79-94，茨城県；平山ほか（2022）日本生物地理学会会報77:76-92，広島県；齊木ほか（2023）日本生物地理学会会報78:67-77，宮崎県；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾
",Sakuramasu
188.5,メバル科,Sebastidae,チヒロアカウオ1,Sebastes mentella, ,Chihiro-akauo1
188.5,メバル科,Sebastidae,チヒロアカウオ2,Sebastes fasciatus, ,Chihiro-akauo2
188.5,メバル科,Sebastidae,タイセイヨウアカウオ,Sebastes norvegicus, ,Taiseiyo-akauo
NA,ノトテニア科,Nototheniidae,マジェランアイナメ,Dissostichus eleginoides, ,Majieran-ainame
NA,ノトテニア科,Nototheniidae,ライギョダマシ,Dissostichus mawsoni, ,Raigyodamashi
186,ダツ科,Belonidae,サンマ,Cololabis saira (Brevoort 1856),"
竹内ほか（2015）日本生物地理学会会報70:1-11，対馬；Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；岩坪・本村（2017）「鹿児島湾の魚類」；吉郷（2018）比和科学博物館研究報告59:127-203，瀬戸内海；小枝ほか（2018）「内之浦の魚類」；園山ほか（2020）鹿児島大学総合研究博物館研究報告11:1-152，山口県日本海側；小枝ほか（2020）「大隅市場魚類図鑑」；Toyama et al (2020) Thailand Nat Hist Mus J Monogr 1:1-73，サンマはダツ科Belonidaeに含まれるため、サンマ科Scomberesocidaeは消滅；外山・今村（2020）魚類学雑誌67:299-300，サンマが含まれる亜科Beloninaeの和名をサンマ亜科とする；村瀬ほか（2021）「ひむかの海の魚たち」，宮崎県門川町；岩坪ほか（2022）「薩摩半島沿岸の魚類」；Motomura (2023) Bull Kagoshima Univ Mus 20:1-250，種子島；マジェランアイナメ本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾
",Samma
