和名,Phylum,Class,Order,Family,Scientific_name,Genome_size_of_the_species_Mbp,No_target_sp_genome,Representative_assembly,Contig_N50,Scaffold_N50,Average_genome_size_of_the_genus_Mbp,No_related_spp_with_assemblies,AGSDB_genus_genome_size,AGSDB_No_genus_avail
ニホンウナギ,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla japonica Temminck & Schlegel 1846,1094,7,GCA_025169545.1,21484275,58706456,988,6,1353,8
マアナゴ,Chordata,Actinopterygii,Anguilliformes,Congridae,Conger myriaster (Brevoort 1856),NA,0,NA,NA,NA,NA,0,1333,3
ハモ,Chordata,Actinopterygii,Anguilliformes,Muraenesocidae,Muraenesox cinereus (Forsskål 1775),NA,0,NA,NA,NA,NA,0,1105,1
イラコアナゴ,Chordata,Actinopterygii,Anguilliformes,Synaphobranchidae,Synaphobranchus kaupii Johnson 1862,NA,0,NA,NA,NA,NA,0,NA,NA
アオメエソ,Chordata,Actinopterygii,Aulopiformes,Chlorophthalmidae,Chlorophthalmus albatrossis Jordan & Starks 1904,NA,0,NA,NA,NA,NA,0,NA,NA
サンマ,Chordata,Actinopterygii,Beloniformes,Belonidae,Cololabis saira (Brevoort 1856),NA,0,NA,NA,NA,NA,0,NA,NA
ツクシトビウオ,Chordata,Actinopterygii,Beloniformes,Exocoetidae,Cheilopogon heterurus doederleinii (Steindachner 1887),NA,0,NA,NA,NA,NA,0,NA,NA
ハマトビウオ,Chordata,Actinopterygii,Beloniformes,Exocoetidae,Cheilopogon pinnatibarbatus japonicus (Franz 1910),NA,0,NA,NA,NA,NA,0,NA,NA
ホソトビウオ,Chordata,Actinopterygii,Beloniformes,Exocoetidae,Cypselurus hiraii Abe 1953,NA,0,NA,NA,NA,NA,0,949,1
サヨリ,Chordata,Actinopterygii,Beloniformes,Hemiramphidae,Hyporhamphus sajori (Temminck & Schlegel 1846),NA,0,NA,NA,NA,NA,0,1076,1
キンメダイ,Chordata,Actinopterygii,Beryciformes,Berycidae,Beryx splendens Lowe 1834,533,1,GCA_900312565.1,4286,5987,533,1,910,2
