Japanese_name,Species,SRA,BioSample,Ave_depth,mu,Generation_time,harmonic_mean_Ne
ニホンウナギ,Anguilla japonica,SRR19974267,SAMN29326702,109.7,7.4E-08,8.5,23570
イラコアナゴ,Synaphobranchus kaupii,SRR15082970,SAMN20062003,9.9,1.0E-08,FishLife,46603
キンメダイ,Beryx splendens,ERR1473897,SAMEA4028808,13.3,1.0E-08,FishLife,110241
コマイ,Eleginus gracilis,SRR12199771,SAMN15508110,13.6,1.0E-08,FishLife,44366
スケトウダラ,Gadus chalcogrammus,SRR14784771,SAMN19665369,37.2,6.0E-09,10,85506
マダラ,Gadus macrocephalus,SRR21531029,SAMN30802603,47.9,6.0E-09,10,68401
アカマンボウ,Lampris megalopsis,SRR21383269,SAMN22826595,45.3,1.0E-08,FishLife,83059
マルアジ,Decapterus maruadsi,SRR22328126,SAMN31777759,40.1,1.0E-08,FishLife,163890
カンパチ,Seriola dumerili,DRR121626,SAMD00109156,23.5,1.0E-08,FishLife,57046
ボラ,Mugil cephalus,SRR15214610,SAMN16703275,81.2,1.0E-08,FishLife,99756
イシダイ,Oplegnathus fasciatus,SRR16896027,SAMN22966831,39.7,1.0E-08,FishLife,58378
スマ,Euthynnus affinis,SRR14329338,SAMN18876749,35.5,1.0E-08,3.25,88673
マサバ,Scomber japonicus,SRR26673749,SAMN38107556,31.6,1.0E-08,FishLife,136079
クロマグロ,Thunnus orientalis,SRR14329339,SAMN18876748,43.4,7.3E-08,2.5,18231
マダイ,Pagrus major,DRR089066,SAMD00076252,12.4,1.0E-08,FishLife,31235
ホシガレイ,Verasper variegatus,SRR21480267,SAMN30723058,28.9,1.0E-08,FishLife,39484
ユメカサゴ,Helicolenus hilgendorfii,ERR5241692,SAMEA7962316,26.5,1.0E-08,FishLife,106721
バラメヌケ,Sebastes baramenuke,ERR5241700,SAMEA7962325,18.3,1.0E-08,FishLife,32713
シロメバル,Sebastes cheni,ERR5241704,SAMEA7962329,30.5,1.0E-08,FishLife,45376
クロソイ,Sebastes schlegelii,ERR5241771,SAMEA7962400,19.4,1.0E-08,FishLife,47125
ウスメバル,Sebastes thompsoni,ERR5241777,SAMEA7962406,18.5,1.0E-08,FishLife,59984
キツネメバル,Sebastes vulpes,ERR5241781,SAMEA7962413,18.3,1.0E-08,FishLife,24398
トラフグ,Takifugu rubripes,ERR3332418,SAMEA104384834,30.2,2.5E-09,4,24356
マトウダイ,Zeus faber,ERR11641144,SAMEA111562293,14.3,1.0E-08,FishLife,25287
ガザミ,Portunus trituberculatus,SRR11838621,SAMN14896546,50.3,2.8E-09,2,230397	
マダコ,Octopus vulgaris,SRR7898210-SRR7898213,SAMN10120072,51.0,2.4E-09,2.5,445127
アサリ,Ruditapes philippinarum,SRR23279237,SAMN32964221,18.6,2.50E-08,2,82836
