Species,Generation_time,Age_max,Age_maturity
Anguilla japonica,14.2,20.7,7.8
Conger myriaster,5.1,6.9,3.4
Muraenesox cinereus,9.6,15,4.1
Synaphobranchus kaupii,8.2,12.5,3.8
Chlorophthalmus albatrossis,4.1,6.2,1.9
Saurida wanieso,4.3,6.7,1.8
Saurida macrolepis,4.2,6.6,1.8
Saurida umeyoshii,4.3,6.8,1.8
Saurida elongata,4.4,7.2,1.7
Cololabis saira,2.2,2.3,2.1
Cheilopogon heterurus,2.4,3.8,1
Cheilopogon pinnatibarbatus,NA,NA,NA
Cypselurus hiraii,2.3,3.7,0.9
Hyporhamphus sajori,3.2,5,1.3
Beryx splendens,9.1,14.8,3.5
Clupea pallasii,NA,NA,NA
Konosirus punctatus,3.5,5.5,1.5
Sardinops melanostictus,NA,NA,NA
Etrumeus micropus,2.3,3.5,1.1
Engraulis japonica,NA,NA,NA
Spratelloides gracilis,0.5,0.8,0.2
Eleginus gracilis,7.7,12.4,2.9
Gadus chalcogrammus,9.6,15.9,3.2
Gadus macrocephalus,8.7,13.9,3.6
Laemonema longipes,11.8,19,4.5
Physiculus japonicus,5.1,7.7,2.5
Lampris megalopsis,NA,NA,NA
Lophiomus setigerus,6.3,8.7,3.9
Lophius litulon,8,10.9,5.2
Hemitrygon akajei,6.7,10.6,2.9
Hoplobrotula armata,5.7,9.5,1.9
Glossanodon semifasciatus,2.4,3,1.8
Neosalangichthys ishikawae,1.9,2.6,1.1
Acropoma japonicum,2.9,4.7,1.1
Doederleinia berycoides,5.4,8.8,2
Ammodytes heian,NA,NA,NA
Ammodytes hexapterus,4.8,7.6,2
Ammodytes japonicus,NA,NA,NA
Branchiostegus japonicus,4.8,7.4,2.3
Callionymus curvicornis,2.2,2.9,1.6
Decapterus akaadsi,4.4,7.9,0.9
Decapterus macarellus,4.3,7.6,0.9
Decapterus macrosoma,3.9,6.9,0.8
Decapterus maruadsi,4,7.3,0.8
Decapterus muroadsi,4.3,7.8,0.9
Decapterus tabl,4.1,7.4,0.8
Kaiwarinus equula,NA,NA,NA
Pseudocaranx dentex,13.9,25.1,2.7
Seriola aureovittata,NA,NA,NA
Seriola dumerili,9.5,16.2,2.7
Seriola quinqueradiata,9.1,15.7,2.6
Trachurus japonicus,5.5,8.9,2.1
Hyperoglyphe japonica,8.2,13,3.5
Psenopsis anomala,4.4,7.1,1.7
Coryphaena hippurus,2.7,4.9,0.5
Ditrema temminckii,NA,NA,NA
Epinephelus akaara,9,15.4,2.6
Epinephelus bruneus,14.1,24.4,3.8
Hyporthodus septemfasciatus,18.3,32.1,4.6
Plectropomus leopardus,9.4,16.4,2.5
Girella punctata,8,13.2,2.8
Parapristipoma trilineatum,6.4,10.5,2.4
Plectorhinchus cinctus,10.1,17,3.2
Parajulis poecileptera,NA,NA,NA
Semicossyphus reticulatus,10,17.8,2.3
Lateolabrax japonicus,10.7,18.6,2.7
Etelis coruscans,11.2,18.9,3.5
Paracaesio caerulea,7.9,13.4,2.4
Pristipomoides filamentosus,10,17.2,2.9
Pristipomoides sieboldii,6.6,10.9,2.2
Mugil cephalus,6.6,10.1,3.1
Upeneus japonicus,3.4,5.6,1.2
Nemipterus virgatus,4.1,6.9,1.3
Niphon spinosus,5.5,9.3,1.7
Oplegnathus fasciatus,6.8,11.3,2.3
Oplegnathus punctatus,6.9,11.5,2.3
Cookeolus japonicus,4.7,7.8,1.6
Priacanthus macracanthus,3.8,6.2,1.4
Nibea mitsukurii,3.8,5.9,1.6
Pennahia argentata,4.1,6.6,1.5
Auxis rochei,4.1,6.7,1.6
Euthynnus affinis,4.1,6.5,1.7
Katsuwonus pelamis,3,4.7,1.3
Sarda orientalis,4.9,8,1.9
Scomber australasicus,4.7,7.9,1.5
Scomber japonicus,5.9,10,1.9
Scomberomorus niphonius,5.5,9.4,1.5
Thunnus alalunga,6.9,10,3.8
Thunnus albacares,5.5,8.5,2.4
Thunnus obesus,7.7,11.9,3.4
Thunnus orientalis,7.9,12.4,3.5
Labracoglossa argentiventris,NA,NA,NA
Siganus fuscescens,3.9,6.7,1
Sillago japonica,3.7,5.9,1.6
Acanthopagrus schlegelii,8.8,15.1,2.4
Dentex hypselosomus,6.1,10.1,2.1
Evynnis tumifrons,NA,NA,NA
Pagrus major,10,17.2,2.8
Sphyraena pinguis,6.1,10.6,1.6
Sphyraena sp.,NA,NA,NA
Dinogunellus grigorjewi,NA,NA,NA
Pampus echinogaster,4.1,6.8,1.5
Pampus punctatissimus,4.1,6.8,1.5
Trichiurus japonicus,NA,NA,NA
Arctoscopus japonicus,4.3,6.9,1.7
Bothrocara hollandi,8.3,12.7,4
Lycodes tanakae,7.6,12,3.2
Cynoglossus abbreviatus,3.8,5.3,2.3
Cynoglossus joyneri,3.2,4.6,1.9
Cynoglossus robustus,4.2,6.8,1.7
Paraplagusia japonica,4.2,6.5,2
Paralichthys olivaceus,6.6,10,3.2
Atheresthes evermanni,15.3,25,5.6
Cleisthenes pinetorum,10.2,16.4,4
Clidoderma asperrimum,10.1,17.3,2.8
Dexistes rikuzenius,8.4,13.7,3.1
Eopsetta grigorjewi,9.8,16.2,3.4
Glyptocephalus stelleri,12.4,20,4.8
Hippoglossoides dubius,9.9,16.8,3
Limanda punctatissima,10.6,16.8,4.3
Microstomus achne,14.4,23.9,4.8
Platichthys bicoloratus,NA,NA,NA
Pleuronichthys cornutus,6.4,10.1,2.7
Pleuronichthys lighti,NA,NA,NA
Pseudopleuronectes herzensteini,6.9,11.2,2.6
Pseudopleuronectes schrenki,8.6,14.1,3.1
Pseudopleuronectes yokohamae,6.9,11.2,2.6
Tanakius kitaharae,7.9,12.7,3.1
Verasper variegatus,6.3,9.9,2.7
Oncorhynchus gorbuscha,3,3.8,2.3
Oncorhynchus keta,4.2,6,2.5
Oncorhynchus kisutch,4.1,5.6,2.7
Oncorhynchus mykiss,4.3,6.3,2.3
Oncorhynchus tshawytscha,5.1,7.1,3.1
